,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,date
0,HK.01211,2019-01-09 00:00:00,50.19579,47.64579,50.19579,47.04579,28.524,0.01535,14044993,680300820.0,-1.3458730046656213,48.29579,2019-01-09
1,HK.01211,2019-01-10 00:00:00,47.74579,46.74579,48.29579,46.14579,27.989,0.01075,9834740,464897240.0,-1.8889391906399255,47.64579,2019-01-10
2,HK.01211,2019-01-11 00:00:00,47.39579,47.19579,47.69579,46.69579,28.256,0.00449,4111984,195275090.0,0.9626535352167604,46.74579,2019-01-11
3,HK.01211,2019-01-14 00:00:00,47.89579,44.04579,47.89579,43.79579,26.383,0.01321,12084431,549276484.0,-6.674324129334429,47.19579,2019-01-14
4,HK.01211,2019-01-15 00:00:00,44.99579,45.64579,45.79579,44.59579,27.334,0.01101,10074759,457366496.0,3.6325832729983993,44.04579,2019-01-15
5,HK.01211,2019-01-16 00:00:00,45.29579,45.79579,46.04579,44.39579,27.424,0.00593,5430512,248442704.0,0.32861738180015854,45.64579,2019-01-16
6,HK.01211,2019-01-17 00:00:00,44.69579,42.99579,45.14579,42.74579,25.758,0.01596,14603388,643691676.0,-6.114099134440081,45.79579,2019-01-17
7,HK.01211,2019-01-18 00:00:00,43.49579,43.74579,43.84579,42.59579,26.204,0.00783,7161247,311988245.0,1.744356831215335,42.99579,2019-01-18
8,HK.01211,2019-01-21 00:00:00,43.79579,44.44579,44.64579,43.39579,26.621,0.00453,4144606,184457535.0,1.6001539805316187,43.74579,2019-01-21
9,HK.01211,2019-01-22 00:00:00,44.69579,44.19579,44.89579,43.49579,26.472,0.0053,4852167,215759004.0,-0.5624829708280581,44.44579,2019-01-22
10,HK.01211,2019-01-23 00:00:00,43.99579,44.99579,45.09579,43.99579,26.948,0.0039,3570769,161014642.0,1.8101271636959022,44.19579,2019-01-23
11,HK.01211,2019-01-24 00:00:00,44.64579,45.89579,46.29579,43.94579,27.483,0.01036,9478795,432702767.0,2.00018712861803,44.99579,2019-01-24
12,HK.01211,2019-01-25 00:00:00,45.99579,46.49579,46.69579,45.24579,27.84,0.00496,4542400,211198069.0,1.3073094503875007,45.89579,2019-01-25
13,HK.01211,2019-01-28 00:00:00,46.79579,46.64579,47.34579,46.24579,27.929,0.0038,3480224,163519233.0,0.3226098534942596,46.49579,2019-01-28
14,HK.01211,2019-01-29 00:00:00,46.44579,45.79579,46.54579,45.09579,27.424,0.00394,3602754,165758075.0,-1.8222437651929606,46.64579,2019-01-29
15,HK.01211,2019-01-30 00:00:00,45.89579,44.84579,45.99579,44.69579,26.859,0.00526,4813082,218561575.0,-2.0744264920421633,45.79579,2019-01-30
16,HK.01211,2019-01-31 00:00:00,45.59579,45.74579,46.04579,44.99579,27.394,0.00532,4866045,223410581.0,2.0068773456772613,44.84579,2019-01-31
17,HK.01211,2019-02-01 00:00:00,46.19579,46.44579,46.89579,45.64579,27.81,0.00502,4592878,214290088.0,1.5301954562376185,45.74579,2019-02-01
18,HK.01211,2019-02-04 00:00:00,46.79579,47.29579,47.29579,46.39579,28.316,0.00203,1854821,87758680.0,1.8300905205832312,46.44579,2019-02-04
19,HK.01211,2019-02-08 00:00:00,46.99579,46.44579,47.14579,45.74579,27.81,0.00326,2987095,139444263.0,-1.7972001313436026,47.29579,2019-02-08
20,HK.01211,2019-02-11 00:00:00,46.44579,47.19579,47.64579,46.39579,28.256,0.00476,4357758,207198985.0,1.6147857534558028,46.44579,2019-02-11
21,HK.01211,2019-02-12 00:00:00,47.39579,48.74579,49.09579,46.99579,29.179,0.00683,6253871,304907942.0,3.284191238243914,47.19579,2019-02-12
22,HK.01211,2019-02-13 00:00:00,49.19579,50.24579,50.49579,48.74579,30.071,0.00727,6652351,334307006.0,3.077188819793463,48.74579,2019-02-13
23,HK.01211,2019-02-14 00:00:00,50.64579,51.84579,52.29579,50.29579,31.023,0.01142,10447251,541949770.0,3.1843463900159623,50.24579,2019-02-14
24,HK.01211,2019-02-15 00:00:00,51.84579,50.04579,51.84579,49.69579,29.952,0.00921,8423741,426233699.0,-3.4718344536750316,51.84579,2019-02-15
25,HK.01211,2019-02-18 00:00:00,50.54579,49.29579,50.69579,48.59579,29.506,0.01313,12016734,595250399.0,-1.4986275568834064,50.04579,2019-02-18
26,HK.01211,2019-02-19 00:00:00,49.89579,48.74579,49.89579,48.74579,29.179,0.00548,5012909,247591009.0,-1.1157139382490822,49.29579,2019-02-19
27,HK.01211,2019-02-20 00:00:00,49.44579,49.89579,49.94579,48.94579,29.863,0.00698,6383256,318317840.0,2.3591780951749857,48.74579,2019-02-20
28,HK.01211,2019-02-21 00:00:00,50.09579,49.94579,50.94579,49.54579,29.892,0.00553,5055661,255300321.0,0.1002088552962169,49.89579,2019-02-21
29,HK.01211,2019-02-22 00:00:00,49.99579,49.94579,50.14579,48.84579,29.892,0.00563,5147331,255909714.0,0.0,49.94579,2019-02-22
30,HK.01211,2019-02-25 00:00:00,50.69579,53.39579,53.69579,50.24579,31.945,0.01564,14309074,753237058.0,6.907489099681867,49.94579,2019-02-25
31,HK.01211,2019-02-26 00:00:00,53.64579,52.04579,54.44579,52.04579,31.142,0.01061,9710216,517792180.0,-2.528289215310798,53.39579,2019-02-26
