,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,date
0,HK.01810,2019-01-09 00:00:00,10.5,10.34,11.1,10.34,0.0,0.01536,240922422,2572710385.0,-6.846846846846845,11.1,2019-01-09
1,HK.01810,2019-01-10 00:00:00,9.63,9.97,10.04,9.44,0.0,0.024,376414318,3570231764.0,-3.578336557059954,10.34,2019-01-10
2,HK.01810,2019-01-11 00:00:00,10.18,10.34,10.52,10.0,0.0,0.00808,126655283,1305955906.0,3.711133400200594,9.97,2019-01-11
3,HK.01810,2019-01-14 00:00:00,10.42,10.02,10.48,10.0,0.0,0.00346,54264395,549190080.0,-3.094777562862672,10.34,2019-01-14
4,HK.01810,2019-01-15 00:00:00,10.06,9.96,10.16,9.83,0.0,0.00525,82269650,822432351.0,-0.5988023952095681,10.02,2019-01-15
5,HK.01810,2019-01-16 00:00:00,9.7,9.7,9.94,9.59,0.0,0.02342,367223812,3510052548.0,-2.6104417670682887,9.96,2019-01-16
6,HK.01810,2019-01-17 00:00:00,9.81,9.74,9.95,9.67,0.0,0.00517,81046985,795682554.0,0.4123711340206281,9.7,2019-01-17
7,HK.01810,2019-01-18 00:00:00,9.97,10.16,10.24,9.89,0.0,0.00892,139896858,1411025648.0,4.312114989733059,9.74,2019-01-18
8,HK.01810,2019-01-21 00:00:00,10.22,10.3,10.48,10.22,0.0,0.0055,86294625,894009082.0,1.3779527559055174,10.16,2019-01-21
9,HK.01810,2019-01-22 00:00:00,10.38,10.0,10.4,9.92,0.0,0.00347,59735038,601860949.0,-2.9126213592233077,10.3,2019-01-22
10,HK.01810,2019-01-23 00:00:00,9.93,9.97,10.02,9.89,0.0,0.0022,37825844,377320334.0,-0.2999999999999936,10.0,2019-01-23
11,HK.01810,2019-01-24 00:00:00,10.0,10.0,10.12,9.92,0.0,0.0024,41246163,412368183.0,0.3009027081243667,9.97,2019-01-24
12,HK.01810,2019-01-25 00:00:00,10.04,10.1,10.26,10.02,0.0,0.00376,64613994,652307328.0,0.9999999999999963,10.0,2019-01-25
13,HK.01810,2019-01-28 00:00:00,10.2,10.02,10.22,9.94,0.0,0.00258,44290538,444449661.0,-0.7920792079207928,10.1,2019-01-28
14,HK.01810,2019-01-29 00:00:00,9.92,9.91,9.99,9.86,0.0,0.00195,33530991,332516515.0,-1.0978043912175592,10.02,2019-01-29
15,HK.01810,2019-01-30 00:00:00,9.9,9.84,9.95,9.84,0.0,0.00191,32802193,324037358.0,-0.7063572149344125,9.91,2019-01-30
16,HK.01810,2019-01-31 00:00:00,9.95,9.84,9.98,9.82,0.0,0.00291,50076676,494732901.0,0.0,9.84,2019-01-31
17,HK.01810,2019-02-01 00:00:00,9.9,10.44,10.44,9.87,0.0,0.00742,127579302,1306387244.0,6.097560975609753,9.84,2019-02-01
18,HK.01810,2019-02-04 00:00:00,10.46,10.36,10.5,10.28,0.0,0.00289,49681936,516482127.0,-0.7662835249042153,10.44,2019-02-04
19,HK.01810,2019-02-08 00:00:00,10.3,10.26,10.32,10.0,0.0,0.00335,57644100,586393324.0,-0.965250965250962,10.36,2019-02-08
20,HK.01810,2019-02-11 00:00:00,10.34,10.7,10.9,10.22,0.0,0.00818,140732181,1511207986.0,4.2884990253411255,10.26,2019-02-11
