date,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
2016-01-04,HK.800000,2016-01-04 00:00:00,21782.62,21327.12,21794.84,21227.61,0.0,0.0,0,73844080000.0,-2.679881721607721,21914.4
2016-01-05,HK.800000,2016-01-05 00:00:00,21318.69,21188.72,21452.74,21095.9,0.0,0.0,0,72435210000.0,-0.6489390034847548,21327.12
2016-01-06,HK.800000,2016-01-06 00:00:00,21142.63,20980.81,21199.62,20947.3,0.0,0.0,0,75175370000.0,-0.9812296353909054,21188.72
2016-01-07,HK.800000,2016-01-07 00:00:00,20772.6,20333.34,20826.44,20323.97,0.0,0.0,0,107199710000.0,-3.086010501977765,20980.81
2016-01-08,HK.800000,2016-01-08 00:00:00,20491.88,20453.71,20596.42,20324.62,0.0,0.0,0,85570160000.0,0.59198341246445,20333.34
2016-01-11,HK.800000,2016-01-11 00:00:00,19997.42,19888.5,20068.78,19865.18,0.0,0.0,0,87478370000.0,-2.7633617568646427,20453.71
2016-01-12,HK.800000,2016-01-12 00:00:00,20030.03,19711.76,20130.8,19694.99,0.0,0.0,0,77196430000.0,-0.8886542474294271,19888.5
2016-01-13,HK.800000,2016-01-13 00:00:00,20028.86,19934.88,20234.78,19850.73,0.0,0.0,0,77352200000.0,1.131913132059251,19711.76
2016-01-14,HK.800000,2016-01-14 00:00:00,19578.92,19817.41,19893.88,19509.08,0.0,0.0,0,75433210000.0,-0.5892686587529052,19934.88
2016-01-15,HK.800000,2016-01-15 00:00:00,19781.46,19520.77,19828.93,19500.38,0.0,0.0,0,73659890000.0,-1.4968656348130227,19817.41
2016-01-18,HK.800000,2016-01-18 00:00:00,19287.38,19237.45,19439.49,19195.56,0.0,0.0,0,75025810000.0,-1.4513771741585997,19520.77
2016-01-19,HK.800000,2016-01-19 00:00:00,19283.57,19635.81,19647.75,19204.22,0.0,0.0,0,82996910000.0,2.0707526205396274,19237.45
2016-01-20,HK.800000,2016-01-20 00:00:00,19332.22,18886.3,19332.22,18833.88,0.0,0.0,0,92269730000.0,-3.8170566938669803,19635.81
2016-01-21,HK.800000,2016-01-21 00:00:00,19079.13,18542.15,19238.27,18534.3,0.0,0.0,0,96490010000.0,-1.8222203396112409,18886.3
2016-01-22,HK.800000,2016-01-22 00:00:00,19000.79,19080.51,19152.8,18769.61,0.0,0.0,0,89902918830.0,2.9034389215921395,18542.15
