,day,quota_daily,quota_daily_balance
182,2015-08-20,130.0,136.6076
183,2015-08-21,130.0,137.7417
184,2015-08-24,130.0,47.3826
185,2015-08-25,130.0,49.2914
186,2015-08-26,130.0,55.0045
187,2015-08-27,130.0,81.0091
188,2015-08-28,130.0,154.1045
189,2015-08-31,130.0,135.4494
190,2015-09-01,130.0,141.9092
191,2015-09-02,130.0,159.9744
192,2015-09-07,130.0,130.856
193,2015-09-08,130.0,84.8473
194,2015-09-09,130.0,157.6671
195,2015-09-10,130.0,98.2946
196,2015-09-11,130.0,129.3408
197,2015-09-14,130.0,136.5427
198,2015-09-15,130.0,118.8268
199,2015-09-16,130.0,110.9572
200,2015-09-17,130.0,125.9461
201,2015-09-18,130.0,103.1457
202,2015-09-21,130.0,123.4304
203,2015-09-22,130.0,129.0708
204,2015-09-23,130.0,141.4309
205,2015-09-24,130.0,138.9356
206,2015-09-25,130.0,130.0
207,2015-09-29,130.0,143.9929
208,2015-09-30,130.0,125.1959
209,2015-10-08,130.0,88.5918
210,2015-10-09,130.0,111.3075
211,2015-10-12,130.0,129.7322
212,2015-10-13,130.0,133.1284
213,2015-10-14,130.0,138.5097
214,2015-10-15,130.0,125.5231
215,2015-10-16,130.0,135.3266
216,2015-10-19,130.0,130.1327
217,2015-10-20,130.0,130.0
218,2015-10-22,130.0,142.6848
219,2015-10-23,130.0,138.7387
220,2015-10-26,130.0,139.5859
221,2015-10-27,130.0,130.8397
222,2015-10-28,130.0,139.6694
223,2015-10-29,130.0,144.8843
224,2015-10-30,130.0,141.1884
225,2015-11-02,130.0,139.6683
226,2015-11-03,130.0,138.5117
227,2015-11-04,130.0,151.9089
228,2015-11-05,130.0,168.7773
229,2015-11-06,130.0,143.5401
230,2015-11-09,130.0,142.7764
231,2015-11-10,130.0,155.5618
232,2015-11-11,130.0,156.3568
233,2015-11-12,130.0,145.3352
234,2015-11-13,130.0,130.1032
235,2015-11-16,130.0,130.0855
236,2015-11-17,130.0,133.1198
237,2015-11-18,130.0,129.3981
238,2015-11-19,130.0,130.0271
239,2015-11-20,130.0,128.8993
240,2015-11-23,130.0,129.7678
241,2015-11-24,130.0,125.7613
242,2015-11-25,130.0,128.4652
243,2015-11-26,130.0,123.2979
244,2015-11-27,130.0,127.3547
245,2015-11-30,130.0,95.3326
246,2015-12-01,130.0,122.4539
247,2015-12-02,130.0,133.307
248,2015-12-03,130.0,138.3869
249,2015-12-04,130.0,133.4853
250,2015-12-07,130.0,128.7481
251,2015-12-08,130.0,133.9127
252,2015-12-09,130.0,125.3673
253,2015-12-10,130.0,132.8109
254,2015-12-11,130.0,131.4134
255,2015-12-14,130.0,132.995
256,2015-12-15,130.0,125.8885
257,2015-12-16,130.0,134.7353
258,2015-12-17,130.0,117.0278
259,2015-12-18,130.0,130.5403
260,2015-12-21,130.0,131.1556
261,2015-12-22,130.0,134.9969
262,2015-12-23,130.0,132.1683
263,2015-12-24,130.0,130.0
264,2015-12-28,130.0,129.6537
265,2015-12-29,130.0,120.9355
266,2015-12-30,130.0,123.3559
267,2015-12-31,130.0,134.5424
